oɡrimo mul̪d͡zo	a price paid in advance
oɡrie̯	first ; eldest
oɡre	at first ; at the front
oɡord͡zo	first ; foremost
o̤ɡ̤o	sin
o̤ɡ̤oton̪	an awkward or unexpected incident ; non-occurrence
o̤ɡ̤otn̪o̤ɡ̤oton̪	unusual occurrence
o̤ɡ̤otn̪ie̯	not likely to happen
o̤ɡ̤omorʂon	that which  dispels sin
o̤ɡ̤or	having no social dignity
o̤ɡ̤at	a bad place
o̤ɡ̤or	not terrible ; calm
o̤ɡ̤or	God Shiva
o̤ɡ̤oro ̤ɡ̤um	deep or sound sleep
o̤ɡ̤ormon̪t̪ro	incantation to invoke Shiva
o̤ɡ̤ore	deeply, profoundly
o̤ɡ̤oʂ	voiceless
o̤ɡ̤oʂborno	a voiceless consonant
o̤ɡ̤rat̪	not smelled ; untasted
oŋko	a mark or sign ; a line
oŋko kora	to do sums ; to calculate or count
oŋko koʂa	to do sums ; to calculate or count
oŋkoɡot̪	lying on or in the lap ; under thorough control of
oŋkoɡorb̤o	marsupial
oŋkot̪ol̪	ventral surface
oŋkod̪eɕ	the lap ; the belly
oŋkon̪	drawing ; painting
oŋkon̪o kora	to mark ; to draw or paint
oŋkon̪i	pencil
oŋkopat̪	act of placing figures ; act of mark ing
oŋkopat̪on̪	notation
oŋkobat͡ɕok	cardinal
oŋkobid̪d͡za	mathematics
oŋkobid̪d͡zabit̪	a mathematician
oŋkol̪okʂi	wife
oŋkoɕae̯in̪i oŋkos̪ɦit̪	situated or placed on the lap ; beloved
oŋkoɕae̯i	lying on the lap ; enamoured of. fem
oŋkit̪	marked ; drawn or painted
oŋkit̪o kora	to mark ; to draw
oŋkie̯	ventral
oŋkur	Sprout ; young plant
oŋkurit̪	Germinated ; sprouted
oŋkurit̪o ɦoe̯a	to sprout ; to germinate
oŋkure bin̪aɕo kora	to nip in the bud
oŋkurd̪e̯o	germination, sprouting, blossoming ; commencement, beginning
oŋkuɕ	any iron rod for striking with ; a hook with a long handle
oŋkuɕɡoroɦ	an elephant-driver
oŋɡo	organ
oŋɡoɡroɦ	spasm ; tetanus
oŋɡoɡl̪an̪i	wearisome or painful physical exertion ; dirt or soil of the body
oŋɡot͡ɕal̪on̪	physical exercise
oŋɡot͡ɕal̪n̪o oŋɡos̪owʂtʰob	physical grace or beauty or symmetry
oŋɡot͡ɕt͡ɕʰed̪	deduction of a part ; mutilation
oŋɡod͡ʑ	born of one's body
oŋɡod͡ʑ	offspring ; a son
oŋɡod͡ʑa	daughter
oŋɡon	Courtyard
oŋɡot̪ro	armour, a coat of mail
oŋɡod̪	an ornamental armlet ; son of Bali
oŋɡon̪	a courtyard
oŋɡon̪a	a woman of graceful physique ; a woman
oŋɡoprot̪d͡zoŋɡo	Limbs ; different parts of the body
oŋɡobikɽit̪i	deformity ; monstrosity
oŋɡobin̪d͡zas̪	posing ; posture
oŋɡobiɦin̪	wanting in one or more limbs ; deformed
oŋɡobiɦin̪a oŋɡob̤oŋɡo	a pose or posture ; a gesture
oŋɡob̤oŋɡi	gesture ; posture
oŋɡob̤oŋɡi	Gesticulations ; gestures
oŋɡomord̪ok	masseur
oŋɡomord̪on̪	massage
oŋɡomord̪ika	masseuse
oŋɡoraɡ	beautifying the body with cosmetics
oŋɡorad͡ʑ	the king of Anga
oŋɡorad͡ʑd͡zo	a state of a federation
oŋɡoruɦ	hair ; wool
oŋɡoɕud̪d̪̤i	purification of the body
oŋɡoɕb̤a	beauty of the body
oŋɡos̪oŋbaɦon̪	massage
oŋɡos̪oŋs̪ɦan̪	morphology
oŋɡos̪od͡ʑd͡ʑa	beautifying the body
oŋɡos̪ont͡ɕal̪on̪	partial movement
oŋɡoɦan̪i	loss of a limb ; mutilation
oŋɡoɦin̪	deformed ; lacking one or more limbs
oŋɡaŋɡi	correlation
oŋɡaŋɡib̤ab	intimate friendship ; inseparable relation
oŋɡaŋɡib̤abe	inseparably
oŋɡabron	covering for the body ; a garment
oŋɡar	coal ; carbon
oŋɡaroঃ ɕot̪d̪̤owt̪en̪o mol̪in̪ot̪boŋ n̪o munt͡ɕot̪i	black will take no other hue
oŋɡarok	carbon
oŋɡarkokomni	coral
oŋɡarko ros̪ae̯on̪	organic chemis try
oŋɡarkɽiʂno	black as coal, very black
oŋɡard̪̤an̪i	an incense-pot, censer
oŋɡarme̯o	carbonaceous
oŋɡaro d͡zowɡik	carbon compounds
oŋɡaraml̪o	carbonic acid
oŋɡi	having a body or form ; whole
oŋɡikron	promising
oŋɡikar	promise or undertaking ; promising
