०	0
अड़ियल	headstrong, intractable
अड़ियलपन	pigheadedness, mulishness
अडूसा	Malabar nut
अडंगा	clog
अड़ंगा	stonewalling
अड्डा	hotbed, stamping-ground
अड्रेस	address
अढ़ाई	two and a half, 2.5
अणु	molecule
अण्टी	skein, clew
अण्डा	egg
अण्डाकार	ovate, oval
अण्डाशय	ovary
अण्डोत्सर्ग	ovulation
अतएव	so
अतर	attar, perfume
अतर्क	irrational
अतर्कसंगत	difficult
अतल	abyssal
अतारांकित	unasterisked, unstarred
अतार्किक	irrational
अति	far
अति	obtuse, highly
अतिकठोर	oppressive
अतिकाय	outsize, oversize
अतिक्रमण	transgression, encroachment
अतिक्रमणकर्ता	trespasser
अतिक्रमी	trespassing
अतिक्रमी	intruder
अतिगंभीर	austere
अतिचार	trespass
अतिथि	guest, company
अतिथिगृह	guesthouse
अतिथिशाला	guesthouse
अतिथ्य	hospitality
अतिदक्षिणपंथी	extreme right-winger
अतिदेय	overdue
अतिपवित्र	sacrosanct
अतिप्राचीन	immemorial, primeval
अतिप्रिय	beloved
अतिमहत्त्वपूर्ण	urgently
अतिमानव	superman
अतिमानवीय	superhuman
अतियथार्थ	surreal
अतियथार्थवाद	surrealism
अतियथार्थवादी	surrealistic, surreal
अतियथार्थवादी	surrealist
अतिरिक्त	auxiliary, supernumerary
अतिरिक्त	supplement
अतिरिक्ति	additional
अतिरेक	orgy, redundancy
अतिरेकपूर्ण	overwhelming
अतिरंजना	extravaganza
अतिरंजित	exaggerated, sweeping
अतिवाद	extremism
अतिवादी	ultra, radical
अतिवादी	extremist
अतिविशाल	monumental
अतिविश्वास	overconfidence
अतिविश्वासी	cocksure
अतिवृष्टि	deluge, spate
अतिव्यस्त	too busy, very busy
अतिशय	keen, extortionate
अतिशय	excessively
अतिशयोक्ति	hyperbole, ceremony
अतिशयोक्तिपूर्ण	camp
अतिशीघ्र	rash
अतिशीतल	icy
अतिसक्रिय	hyperactive
अतिसक्रियता	hyperactivity
अतिसार	loose
अतिसूक्ष्म	ultramicroscopic, superfine
अतिसंयमी	austere
अतिसंवेदनशील	squeamish, high-strung
अतिसंवेदनशीलता	hypersensitivity
अतीत	past times, yesteryear
अतीन्द्रिय	indiscernible
अतींद्रिय	transcendental, psychic
अतुकांत	unrhymed, rimeless
अतुल	nonpareil, unapproachable
अतुलनीय	incomparable, uncomparable
अतुल्य	incomparable
अतृप्त	unmet, unrealized
अतोषणीय	implacable, insatiable
अतः	because, then
अतः	therefore, hence
अत्तार	pharmacist, druggist
अत्यधिक	immoderate, strong
अत्यधिक	shatteringly, staggeringly
अत्यन्त	far, deadly
अत्यन्त	precious, exceedingly
अत्यल्प	measly, meagre
अत्याचार	victimization, persecution
अत्याचारी	oppressor, torturer
अत्याधिक	high, stiff
अत्याधिक	great, hard
अत्याधुनिक	ultramodern, high-tech
अत्यावश्यक	pressing, important
अत्यावश्यकता	urgency
अत्युक्ति	exaggeration, hyperbole
अत्युत्तम	exquisite, brave
अत्यंत	ultimate, keen
अथक	unwearying, unflagging
अथवा	else
अथवा	or
अथाह	profound, untiring
अदक्ष	amateurish, clumsy
अदक्ष	clumsiness
अदन	Aden
अदना	puny
अदब	respect
अदभुत	neat
अदमनीय	unquenchable
अदम्य	indomitable, unflinching
अदरक	ginger
अदा	play
अदाकार	actor
अदाकारी	performance
अदायगी	payment, discharge
अदार	adar
अदालत	bar
अदालती	forensic, judicial
अदावत	feud, animosity
अदिति	Aditi
अदिनांकित	undatable
अदुरदर्शी	mad
अदूर	near
अदूरदर्शिता	myopia
अदूरदर्शी	shortsighted, short
अदूषित	unpolluted, uncontaminated
अदृश्य	invisible, disembodied
अदृश्यता	invisibility
अदृष्ट	unsighted, unperceivable
अदृष्ट	destiny, fortune
अदेखा	undercurrent
अद्भुत	marvelous, tremendous
अद्भूत	novel
अद्यतन	state of the art
अद्यतन	up to date, up-to-date
अद्वितीय	unequalled, unique
अद्वेषी	unenvious
अद्वैत	monistic, non dual
अद्वैतवाद	non duality, monism
अद्वैतवादी	Unitarian
अद्वैतवादी	Unitarian
अधखुला	ajar
अधनंगा	seminude
अधनंगी	topless, seminude
अधपका	underdone, soft-boiled
अधबना	imperfect
अधम	scurvy, miserable
अधमता	wallow
अधमी	dog
अधर	lip, underlip
अधर्म	iniquitous
अधर्म	crime, dishonesty
अधर्मी	ungodly, unfaithful
अधार्मिक	irreligious
अधिक	a lot, much
अधिक	further, high
अधिक	still, too
अधिकतम	utmost, uttermost
अधिकतम	max, maximal
अधिकतम	at the outside, at the very outside
अधिकतम	most
अधिकतर	more
अधिकतर	in general, more
अधिकता	cushion, excess
अधिकर	possession
अधिकरण	tribunal
अधिकाई	aggravation, influx
अधिकाधिक	at most, more and more
अधिकार	possession, seizure
अधिकारक्षेत्र	expertise, demesne
अधिकारपूर्ण	authorised, authoritative
अधिकारपूर्वक	authoritatively
अधिकारप्राप्त	ministerial
